st	loopid
VDR::SMAD3::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::SREBF1	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::SREBF1	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::SREBF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::HDAC4::CEBPD	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::RELA	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::RELA	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::TP53	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::TP53	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::TP73	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::NFKB1	Y_6710000_6725000_Y_6770000_6785000
GATA3::HDAC4::NFKB1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::EGR1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::NLK::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::FHIT::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::EGR1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::FOXM1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::E2F1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::E2F1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::SMAD4::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::MSH2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::SMAD2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::SMAD3::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::HDAC4::RUNX2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::SP1	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::SP1	Y_6710000_6725000_Y_6770000_6785000
GATA3::HDAC4::SP1	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::ESR2	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::ESR2	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::SMAD2::ETV4	Y_6710000_6725000_Y_6770000_6785000
GATA3::HDAC4::SRF	Y_6710000_6725000_Y_6770000_6785000
GATA3::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
GATA3::HDAC4::NFKB2	Y_6710000_6725000_Y_6770000_6785000
GATA3::ESR1::SREBF1	Y_6710000_6725000_Y_6770000_6785000
JUN::RELA::CEBPD	Y_6710000_6725000_Y_6770000_6785000
JUN::CREBBP::CEBPD	Y_6710000_6725000_Y_6770000_6785000
JUN::RELA	Y_6710000_6725000_Y_6770000_6785000
JUN::ESR1	Y_6710000_6725000_Y_6770000_6785000
JUN::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
JUN::TOP2A::CTCF	Y_6710000_6725000_Y_6770000_6785000
JUN::TP53	Y_6710000_6725000_Y_6770000_6785000
JUN::RUNX2::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD2::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::EP300::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD3::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::TP53::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::MDM2::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::CREBBP::TP73	Y_6710000_6725000_Y_6770000_6785000
JUN::NFKB1	Y_6710000_6725000_Y_6770000_6785000
JUN::EGR1	Y_6710000_6725000_Y_6770000_6785000
JUN::RUNX2::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::TCF4::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::TCF7L2::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD4::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::MSH2::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD2::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD3::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::EGR1::LEF1	Y_6710000_6725000_Y_6770000_6785000
JUN::SP1	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD4::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::MSH2::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::SP1::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::KLF5::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD2::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::EP300::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD3::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::MDM2::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::ESR1::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::CREBBP::ESR2	Y_6710000_6725000_Y_6770000_6785000
JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
JUN::NFKB1::SRF	Y_6710000_6725000_Y_6770000_6785000
JUN::RELA::SRF	Y_6710000_6725000_Y_6770000_6785000
JUN::CREBBP::SRF	Y_6710000_6725000_Y_6770000_6785000
JUN::SMAD2::TP63	Y_6710000_6725000_Y_6770000_6785000
JUN::NFKB1::TP63	Y_6710000_6725000_Y_6770000_6785000
JUN::TP53::TP63	Y_6710000_6725000_Y_6770000_6785000
JUN::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
JUN::RELA::TP63	Y_6710000_6725000_Y_6770000_6785000
JUN::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
JUN::NFKB1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
JUN::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
JUN::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
JUN::SP1::SREBF1	Y_6710000_6725000_Y_6770000_6785000
JUN::KLF5::SREBF1	Y_6710000_6725000_Y_6770000_6785000
JUN::EP300::SREBF1	Y_6710000_6725000_Y_6770000_6785000
JUN::TP53::SREBF1	Y_6710000_6725000_Y_6770000_6785000
JUN::ESR1::SREBF1	Y_6710000_6725000_Y_6770000_6785000
JUN::CREBBP::SREBF1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::CEBPD	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53::RELA	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::RELA	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1::RELA	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::RELA	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53	Y_6710000_6725000_Y_6770000_6785000
FOXO3::SMAD2::TP73	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53::TP73	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::TP73	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::TP73	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1::NFKB1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::VDR::EGR1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53::EGR1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::EGR1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::EGR1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::SMAD2::LEF1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::SMAD2::SP1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53::SP1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::SP1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1::SP1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::SP1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::SMAD2::ESR2	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::ESR2	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1::ESR2	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::ESR2	Y_6710000_6725000_Y_6770000_6785000
FOXO3::SMAD2::ETV4	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::SRF	Y_6710000_6725000_Y_6770000_6785000
FOXO3::SMAD2::TP63	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53::TP63	Y_6710000_6725000_Y_6770000_6785000
FOXO3::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
FOXO3::TP53::SREBF1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::ESR1::SREBF1	Y_6710000_6725000_Y_6770000_6785000
FOXO3::CREBBP::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::CEBPD	Y_6710000_6725000_Y_6770000_6785000
PPARG::HDAC4::CEBPD	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::CEBPD	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA	Y_6710000_6725000_Y_6770000_6785000
PPARG::JUN::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SP1::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::GADD45B::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::KLF5::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::NR0B1::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::EP300::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD3::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::NFKB1::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::HDAC4::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
PPARG::NR4A1::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::JUN::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::VDR::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::TCF4::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::SP1::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::KLF5::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::EP300::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD3::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARG::EP300::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD3::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARG::NFKB1	Y_6710000_6725000_Y_6770000_6785000
PPARG::JUN::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::VDR::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARG::VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::TCF4::LEF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::LEF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD3::LEF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SP1	Y_6710000_6725000_Y_6770000_6785000
PPARG::SP1::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::KLF5::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::NR0B1::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::EP300::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD3::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARG::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARG::NFKB1::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARG::HDAC4::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARG::SMAD2::TP63	Y_6710000_6725000_Y_6770000_6785000
PPARG::NFKB1::TP63	Y_6710000_6725000_Y_6770000_6785000
PPARG::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::TP63	Y_6710000_6725000_Y_6770000_6785000
PPARG::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
PPARG::NFKB1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
PPARG::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
PPARG::HDAC4::NFKB2	Y_6710000_6725000_Y_6770000_6785000
PPARG::SP1::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::KLF5::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::NR0B1::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::EP300::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARG::CREBBP::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::CEBPD	Y_6710000_6725000_Y_6770000_6785000
PPARD::HDAC4::CEBPD	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::CEBPD	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA	Y_6710000_6725000_Y_6770000_6785000
PPARD::GADD45B::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::HDAC4::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::ESR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::TP53	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::TP73	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::NFKB1	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::NFKB1	Y_6710000_6725000_Y_6770000_6785000
PPARD::HDAC4::NFKB1	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::EGR1	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::SP1	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::SP1	Y_6710000_6725000_Y_6770000_6785000
PPARD::HDAC4::SP1	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::SP1	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::ESR2	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::SMAD2::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::SMAD2::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::SMAD9::SMAD2::ETV4	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARD::HDAC4::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::SRF	Y_6710000_6725000_Y_6770000_6785000
PPARD::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::TP63	Y_6710000_6725000_Y_6770000_6785000
PPARD::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
PPARD::HDAC4::NFKB2	Y_6710000_6725000_Y_6770000_6785000
PPARD::EP300::SREBF1	Y_6710000_6725000_Y_6770000_6785000
PPARD::CREBBP::SREBF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::CEBPD	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::RELA	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::RELA	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::ESR1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::ESR1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::TOP2A::CTCF	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::TP53	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::TP53	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::TP73	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::NFKB1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::EGR1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::EGR1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::TCF4::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::TCF7L2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::RUNX2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::RUNX2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::FOXM1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::NLK::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::E2F1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::SMAD4::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::SMAD4::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::MSH2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::MSH2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::SMAD2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::SMAD2::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::EP300::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::SMAD3::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::SMAD3::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::EGR1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::EGR1::LEF1	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::SP1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::SP1	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::ESR2	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::SRF	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::NFKB1::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::SMAD2::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::SMAD2::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::TP73::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::TP53::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA2::JUN::TP53::TP63	Y_6710000_6725000_Y_6770000_6785000
GATA2::CREBBP::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
