st	loopid
VDR::CREBBP::CEBPD	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::SMAD3::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::EGR1::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::RELA	Y_6710000_6725000_Y_6770000_6785000
VDR::FOXO3::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::SMAD3::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::ESR1	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::CTCF	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::TP73	Y_6710000_6725000_Y_6770000_6785000
VDR::SMAD3::TP73	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::TP73	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::TP73	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::TP73	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::NFKB1	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::NFKB1	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::NFKB1	Y_6710000_6725000_Y_6770000_6785000
VDR::EGR1	Y_6710000_6725000_Y_6770000_6785000
VDR::LEF1	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::SP1	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::SP1	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::SP1	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::SP1	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::SP1	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::ESR2	Y_6710000_6725000_Y_6770000_6785000
VDR::SMAD3::ESR2	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::ESR2	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::ESR2	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::ETV4	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::SRF	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::TP63	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::TP63	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::HDAC4::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::NFKB1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::NFKB1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::NFKB1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::ESR2::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::ESR2::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::SMAD3::ESR2::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::ESR2::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::PPARG::SP1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::SMAD3::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::EP300::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::JUN::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::FOXO3::ESR1::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::CREBBP::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::MDM2::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::TP53::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
VDR::EGR1::RELA::NFKB2	Y_6710000_6725000_Y_6770000_6785000
