st	loopid
GATA2::JUN::KLF5	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::KLF5	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::PML::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::KLF4	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::NKX2-5	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
GATA2::PML::RUNX3	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
GATA2::CREBBP::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA2::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::AR::SRY	20_1735000_1750000_20_2075000_2090000
GATA2::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::AR	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::AR	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::AR	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::E2F1	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::E2F1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::ELF3	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::ESR2	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::KLF5	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::KLF5	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::PIK3R1::FOXH1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::GSK3B::SOX9	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
TWIST1::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::AR::SRY	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::AR::SRY	20_1735000_1750000_20_2075000_2090000
TWIST1::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
TWIST1::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::AR	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::AR	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::AR	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::AR	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::ESR1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::ESR1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::ESR1	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::ESR1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::CEBPD	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::E2F3	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::ELF3	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::ESR2	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::KLF4	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::REST	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::RUNX3	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::AR::SRY	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::AR::SRY	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::AR::SRY	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CREBBP::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC4::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::HDAC1::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPD::CEBPB::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::AR	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::AR	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::STAT1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::ESR1	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::ESR1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::E2F1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::E2F3	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::ELF3	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::ELK1	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::ESR2	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::KLF5	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::KLF4	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::AR::SRY	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::CREBBP::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
PBX1::HDAC1::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::AR	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::AR	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::STAT1	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::ESR1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::ESR1	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::ESR1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::HDAC4::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::HDAC4::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::LEF1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::TCF7L2	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
TCF7L2::LEF1::E2F1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::E2F3	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::E2F4	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::ELF3	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::ELF3	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::ELK1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::ESR2	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::KLF5	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::KLF5	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::KLF5	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::LEF1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::KLF4	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::NKX2-5	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::RBPJ	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::HDAC4::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::HDAC4::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::SMARCE1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::LEF1::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::RREB1	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::RUNX3	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::RUNX3	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::SOX2	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::SOX2	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::LEF1::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::GSK3B::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::GSK3B::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::GSK3B::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::PML::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::AR::SRY	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::AR::SRY	20_1735000_1750000_20_2075000_2090000
TCF7L2::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTBP1::TFAP2A	20_1735000_1750000_20_2075000_2090000
TCF7L2::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
TCF7L2::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
POU5F1::AR	20_1735000_1750000_20_2075000_2090000
POU5F1::CTNNB1::PML::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::AR::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::CTNNB1::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::PPIA::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::PRKDC::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::HSPA8::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::NR0B1::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::TUBB3::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::TOP1::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::GAPDH::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::AR::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::CTNNB1::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::PPIA::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::PRKDC::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::HSPA8::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::TUBB3::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::TOP1::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::GAPDH::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::AR::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
POU5F1::CTNNB1::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
