st	loopid
ATF3::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC4::REST	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
ATF3::SMAD2::RUNX3	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC4::RUNX3	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
ATF3::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
ATF3::SMAD2::SOX9	20_1735000_1750000_20_2075000_2090000
ATF3::GSK3B::SOX9	20_1735000_1750000_20_2075000_2090000
ATF3::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
ATF3::CREBBP::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC4::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::JUN::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::NFKB1::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::GSK3B::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::CEBPB::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::CEBPA::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
ATF3::CREBBP::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC4::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::HDAC1::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::JUN::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::NFKB1::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::GSK3B::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::CEBPB::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::CEBPA::AR::SRY	20_1735000_1750000_20_2075000_2090000
ATF3::NFKB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
ATF3::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPA::AR	20_1735000_1750000_20_2075000_2090000
CEBPA::ESR1::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPA::JUN::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::STAT1	20_1735000_1750000_20_2075000_2090000
CEBPA::ESR1	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
CEBPA::MYC::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPA::JUN::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::TCF7L2	20_1735000_1750000_20_2075000_2090000
CEBPA::ESR1::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPA::GSK3B::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::E2F1	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::E2F3	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::E2F3	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::E2F4	20_1735000_1750000_20_2075000_2090000
CEBPA::MYC::ELF3	20_1735000_1750000_20_2075000_2090000
CEBPA::JUN::ELF3	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::ELF3	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::ELF3	20_1735000_1750000_20_2075000_2090000
CEBPA::CEBPB::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::ELK1	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::ESR2	20_1735000_1750000_20_2075000_2090000
CEBPA::ESR1::ESR2	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::ESR2	20_1735000_1750000_20_2075000_2090000
CEBPA::CEBPB::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::MYC::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::ESR1::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::GSK3B::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::JUN::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::KLF5	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::KLF4	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::KLF4	20_1735000_1750000_20_2075000_2090000
CEBPA::JUN::NKX2-5	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::NKX2-5	20_1735000_1750000_20_2075000_2090000
CEBPA::MYC::RBPJ	20_1735000_1750000_20_2075000_2090000
CEBPA::GSK3B::RBPJ	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::RBPJ	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::REST	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::RREB1	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::RREB1	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::RUNX3	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::RUNX3	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::SOX2	20_1735000_1750000_20_2075000_2090000
CEBPA::HDAC1::SOX2	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::SOX4	20_1735000_1750000_20_2075000_2090000
CEBPA::GSK3B::SOX9	20_1735000_1750000_20_2075000_2090000
CEBPA::CREBBP::SOX9	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::SPDEF	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::SRY	20_1735000_1750000_20_2075000_2090000
CEBPA::MYC::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPA::CTNNB1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPA::ESR1::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPA::JUN::TFAP2A	20_1735000_1750000_20_2075000_2090000
CEBPA::AR::TFAP2A	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::AR	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::AR	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::AR	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::AR	20_1735000_1750000_20_2075000_2090000
GATA1::PML::STAT1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::STAT1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::STAT1	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::STAT1	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::ESR1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::ESR1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::ESR1	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::ESR1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::CEBPD	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::CEBPD	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::CEBPD	20_1735000_1750000_20_2075000_2090000
GATA1::PML::TCF7L2	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::E2F1	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::E2F1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::E2F3	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::E2F3	20_1735000_1750000_20_2075000_2090000
GATA1::PML::E2F4	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::E2F4	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::ELF3	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::ELK1	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::ELK1	20_1735000_1750000_20_2075000_2090000
GATA1::SMARCE1::ESR2	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::ESR2	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::KLF5	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::KLF5	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA1::PML::SMAD2::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA1::CREBBP::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC4::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
GATA1::HDAC1::AR::FOXH1	20_1735000_1750000_20_2075000_2090000
